Nombre_Estacion;Clave_Estacion;location
Noreste3 Pesqueria;Pesqueria;25.791343,-100.078176
Norte2 Universidad;Universidad;25.729787,-100.310028
Noroeste San Bernabé;San Bernabé;25.75712,-100.365974
Noroeste 2 Garcia;Garcia;25.783331,-100.585833
Centro Obispado;Obispado;25.67602,-100.335847
Sureste3 Cadereyta;Cadereyta;25.60087,-99.995334
Suroeste2 San Pedro;San Pedro;25.66528,-100.412778
Sur;Preparatoria ITESM;25.575383,-100.249371
Noreste San Nicolas;San Nicolas;25.74543,-100.255020
Noroeste 3 Garcia;Mision San Juan;25.785307, -100.463958
Sureste 2 Juarez;Juarez;25.64611,-100.095555
Suroeste Santa Catarina;Santa Catarina;25.675356,-100.460037
Norte Escobedo;Escobedo;25.80194,-100.343056
Noreste 2 Apodaca;Apodaca;25.77722,-100.188055
Sureste Tec NL;Tec de Nuevo León;25.66827,-100.249580
